PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
01mxD,rn3rk1/p1b2ppp/1p1qp3/3p2n1/1P1P4/PN1QPN2/5PPP/R3BRK1 w - - 6 17,b4b5 g5f3 g2f3 d6h2,1156,76,100,487,kingsideAttack mate,https://lichess.org/gtjH4VlN#33,Slav_Defense Slav_Defense_Quiet_Variation
01oaC,8/1R6/1p3kpp/8/5PKP/Pr6/8/8 w - - 0 39,b7c7 h6h5,876,92,100,24,endgame mate,https://lichess.org/wFH4Yd3q#77,
01pet,8/8/2Pk2pp/1b6/1N1K4/7P/6P1/8 b - - 3 42,b5c6 b4c6 d6c6 d4e5,1271,76,100,264,defensiveMove endgame,https://lichess.org/2zbC2YaY/black#84,
01pkQ,8/R5pk/p1b4p/4pp2/7P/1B4P1/PP1r1P2/5K2 w - - 4 34,a7a6 c6b5 f1e1 d2e2 e1d1 b5a6,1682,75,100,293,endgame fork,https://lichess.org/5JQ6Spea#67,
01rgi,rn1qkbnr/pp2pppb/2p4p/7P/2P1N3/3B1N2/PP2QPP1/R1B1K2R b KQkq - 0 10,b8d7 e4d6,1245,82,100,170,mate pin,https://lichess.org/qGETyzwU/black#20,Caro-Kann_Defense Caro-Kann_Defense_Classical_Variation
01tZS,r5k1/p4pp1/2pB4/6P1/2p3np/P1N5/BPP5/5K2 w - - 0 26,a2c4 g4e3 f1f2 e3c4,757,76,100,367,endgame fork,https://lichess.org/YimAxyBC#51,
01tfG,8/8/6p1/1p1k1p1p/1Pn2P1P/2K5/2N2P2/8 w - - 6 46,c2e3 c4e3 f2e3 d5e4 c3d2 e4f3,1437,129,100,61,endgame,https://lichess.org/Lgnoyd4w#91,
01tnZ,4R3/1p6/1Pp2k1K/5P2/P4r2/8/8/8 b - - 4 50,f6f5 e8f8 f5e4 f8f4 e4f4 a4a5,1493,75,100,343,defensiveMove endgame,https://lichess.org/vonX5zdk/black#100,
01uXH,R7/8/5p2/8/8/1P3k1K/Pr6/8 w - - 2 46,h3h4 b2h2,806,94,100,34,endgame mate,https://lichess.org/FvWUxpdc#91,
01vQy,8/8/1Pk2p2/4p2p/2K5/5P2/6P1/8 w - - 0 43,g2g3 f6f5 b6b7 c6b7,1598,75,100,163,endgame quietMove,https://lichess.org/o3NZT9Aj#85,
01ws2,1q3bk1/5ppp/8/3QP3/2B5/6NP/6PK/4r3 b - - 3 38,e1e5 d5f7 g8h8 f7g8,878,77,100,305,endgame mate,https://lichess.org/Zmxs5jrC/black#76,
01xjo,r2qb2k/4b1p1/p3p2p/1p1pn1P1/3n3P/P1N5/1P3P2/RBBQK2R w KQ - 3 23,d1d4 e5f3 e1f1 f3d4,902,88,100,38,fork,https://lichess.org/Avj9yhYn#45,
01xvi,5rk1/pp3pp1/7Q/4Pq1p/8/6RP/5rP1/4R2K b - - 1 27,g7g6 e5e6 f2f1 e1f1 f5f1 h1h2 f1f6 e6f7,1827,119,100,15,endgame,https://lichess.org/1s0TtzmW/black#54,
01y88,5r2/1P1k4/3bp3/6p1/3K4/4P1p1/6B1/7R b - - 5 39,f8f2 h1h7 d7e8 g2c6 e8f8 h7d7,2146,99,100,33,endgame,https://lichess.org/KXYwIKUv/black#78,
01yqX,r1b4r/1p2k3/p1p1Pb1p/2q5/2P2p2/3R4/P3QPPP/3R2K1 b - - 6 23,c8e6 d3d7 e7f8 e2e6 c5e7 d7e7,1403,118,100,40,deflection pin,https://lichess.org/U32T811c/black#46,
